Date,Location,Crime_Type,Severity
2023-01-26,Residential Zone,Burglary,Medium
2023-01-26,Residential Zone,Theft,High
2023-01-26,City Center,Assault,Low
2023-01-26,City Center,Drug Offense,Low
2023-01-26,City Center,Theft,Medium
2023-01-26,City Center,Drug Offense,Medium
2023-01-27,Downtown,Vandalism,Low
2023-01-27,Downtown,Assault,High
2023-01-27,Downtown,Assault,Medium
2023-01-27,Downtown,Drug Offense,Low
2023-01-27,Downtown,Vandalism,Medium
2023-01-27,Suburb,Burglary,Low
2023-01-27,Suburb,Drug Offense,Low
2023-01-27,Suburb,Assault,Medium
2023-01-27,Industrial Area,Vandalism,Low
2023-01-27,Industrial Area,Theft,Low
2023-01-27,Industrial Area,Assault,Low
2023-01-27,Industrial Area,Drug Offense,Low
2023-01-27,Residential Zone,Assault,Medium
2023-01-27,Residential Zone,Vandalism,Medium
2023-01-27,Residential Zone,Burglary,Low
2023-01-27,Residential Zone,Theft,High
2023-01-27,Residential Zone,Assault,Low
2023-01-27,Residential Zone,Theft,Low
2023-01-27,Residential Zone,Vandalism,Low
2023-01-27,City Center,Vandalism,Medium
2023-01-27,City Center,Vandalism,Medium
2023-01-27,City Center,Vandalism,Low
2023-01-28,Downtown,Burglary,Low
2023-01-28,Downtown,Theft,Low
2023-01-28,Downtown,Theft,Low
2023-01-28,Downtown,Assault,Medium
2023-01-28,Downtown,Drug Offense,Medium
2023-01-28,Downtown,Theft,Low
2023-01-28,Suburb,Drug Offense,Low
2023-01-28,Suburb,Vandalism,High
2023-01-28,Suburb,Theft,Low
2023-01-28,Suburb,Theft,Medium
2023-01-28,Suburb,Theft,Medium
2023-01-28,Suburb,Assault,High
2023-01-28,Suburb,Burglary,Low
2023-01-28,Suburb,Drug Offense,High
2023-01-28,Industrial Area,Assault,Low
2023-01-28,Industrial Area,Burglary,High
2023-01-28,Industrial Area,Vandalism,Low
2023-01-28,Industrial Area,Burglary,Low
2023-01-28,Industrial Area,Vandalism,High
2023-01-28,Industrial Area,Assault,Low
2023-01-28,Industrial Area,Vandalism,High
2023-01-28,Residential Zone,Assault,Low
2023-01-28,Residential Zone,Burglary,Low
2023-01-28,Residential Zone,Vandalism,Medium
2023-01-28,Residential Zone,Assault,Medium
2023-01-28,Residential Zone,Assault,High
2023-01-28,Residential Zone,Theft,Medium
2023-01-28,Residential Zone,Assault,Low
2023-01-28,Residential Zone,Drug Offense,Low
2023-01-28,City Center,Theft,Low
2023-01-28,City Center,Vandalism,Low
2023-01-28,City Center,Theft,Low
2023-01-28,City Center,Theft,Low
2023-01-28,City Center,Assault,Low
2023-01-28,City Center,Burglary,High
2023-01-28,City Center,Assault,Low
2023-01-28,City Center,Theft,High
2023-01-28,City Center,Theft,High
2023-01-28,City Center,Vandalism,High
2023-01-29,Downtown,Vandalism,Low
2023-01-29,Downtown,Assault,Low
2023-01-29,Downtown,Vandalism,Low
2023-01-29,Downtown,Theft,Low
2023-01-29,Downtown,Assault,Low
2023-01-29,Downtown,Assault,Low
2023-01-29,Downtown,Vandalism,High
2023-01-29,Suburb,Theft,High
2023-01-29,Suburb,Burglary,Medium
2023-01-29,Suburb,Drug Offense,Low
2023-01-29,Suburb,Vandalism,Low
2023-01-29,Suburb,Vandalism,Low
2023-01-29,Suburb,Drug Offense,Medium
2023-01-29,Suburb,Assault,Medium
2023-01-29,Suburb,Assault,Low
2023-01-29,Industrial Area,Vandalism,Low
2023-01-29,Industrial Area,Assault,Low
2023-01-29,Industrial Area,Vandalism,Low
2023-01-29,Residential Zone,Vandalism,Low
2023-01-29,Residential Zone,Vandalism,High
2023-01-29,Residential Zone,Burglary,Low
2023-01-29,Residential Zone,Assault,Medium
2023-01-29,Residential Zone,Assault,Low
2023-01-29,Residential Zone,Drug Offense,Low
2023-01-29,City Center,Vandalism,Low
2023-01-30,Downtown,Assault,Low
2023-01-30,Downtown,Theft,High
2023-01-30,Downtown,Assault,Low
2023-01-30,Downtown,Drug Offense,Low
2023-01-30,Downtown,Burglary,Low
2023-01-30,Downtown,Assault,Low
2023-01-30,Downtown,Drug Offense,Low
2023-01-30,Suburb,Theft,Low
2023-01-30,Suburb,Theft,Low
2023-01-30,Suburb,Drug Offense,Low
2023-01-30,Suburb,Vandalism,Medium
2023-01-30,Industrial Area,Drug Offense,High
2023-01-30,Industrial Area,Assault,Medium
2023-01-30,Industrial Area,Burglary,Low
2023-01-30,Industrial Area,Vandalism,Low
2023-01-30,Industrial Area,Vandalism,Low
2023-01-30,Industrial Area,Theft,Medium
2023-01-30,Industrial Area,Vandalism,High
2023-01-30,Industrial Area,Vandalism,Low
2023-01-30,Industrial Area,Assault,High
2023-01-30,Residential Zone,Burglary,Low
2023-01-30,Residential Zone,Assault,Medium
2023-01-30,Residential Zone,Vandalism,Low
2023-01-30,Residential Zone,Theft,Medium
2023-01-30,City Center,Burglary,High
2023-01-30,City Center,Assault,Low
2023-01-30,City Center,Assault,Medium
2023-01-30,City Center,Assault,Low
2023-01-30,City Center,Drug Offense,Medium
2023-01-30,City Center,Burglary,Low
2023-01-30,City Center,Drug Offense,Low
2023-01-31,Downtown,Burglary,Low
2023-01-31,Downtown,Vandalism,Low
2023-01-31,Downtown,Burglary,Low
2023-01-31,Downtown,Drug Offense,Medium
2023-01-31,Downtown,Drug Offense,High
2023-01-31,Downtown,Assault,High
2023-01-31,Downtown,Theft,Low
2023-01-31,Downtown,Vandalism,Low
2023-01-31,Downtown,Theft,Low
2023-01-31,Suburb,Drug Offense,Medium
2023-01-31,Suburb,Vandalism,Medium
2023-01-31,Suburb,Assault,Low
2023-01-31,Industrial Area,Burglary,Low
2023-01-31,Industrial Area,Theft,Low
2023-01-31,Industrial Area,Burglary,Low
2023-01-31,Industrial Area,Theft,Low
2023-01-31,Industrial Area,Drug Offense,Low
2023-01-31,Residential Zone,Vandalism,Low
2023-01-31,Residential Zone,Vandalism,High
2023-01-31,Residential Zone,Assault,Medium
2023-01-31,Residential Zone,Burglary,Low
2023-01-31,Residential Zone,Drug Offense,High
2023-01-31,Residential Zone,Theft,Low
2023-01-31,Residential Zone,Burglary,Low
2023-01-31,Residential Zone,Theft,Low
2023-01-31,City Center,Drug Offense,Low
2023-01-31,City Center,Burglary,Low
2023-01-31,City Center,Theft,Medium
2023-01-31,City Center,Theft,High
2023-01-31,City Center,Assault,Medium
2023-02-01,Downtown,Theft,High
2023-02-01,Downtown,Theft,Low
2023-02-01,Downtown,Vandalism,Low
2023-02-01,Downtown,Theft,Medium
2023-02-01,Downtown,Drug Offense,Medium
2023-02-01,Downtown,Vandalism,Low
2023-02-01,Suburb,Vandalism,High
2023-02-01,Suburb,Burglary,Low
2023-02-01,Suburb,Theft,Low
2023-02-01,Suburb,Theft,Medium
2023-02-01,Industrial Area,Vandalism,Low
2023-02-01,Industrial Area,Assault,High
2023-02-01,Industrial Area,Theft,Low
2023-02-01,Industrial Area,Theft,Low
2023-02-01,Industrial Area,Drug Offense,High
2023-02-01,Industrial Area,Drug Offense,High
2023-02-01,Industrial Area,Burglary,Low
2023-02-01,Industrial Area,Drug Offense,Low
2023-02-01,Industrial Area,Theft,Medium
2023-02-01,Industrial Area,Burglary,Medium
2023-02-01,Residential Zone,Theft,Medium
2023-02-01,Residential Zone,Assault,Medium
2023-02-01,Residential Zone,Drug Offense,Low
2023-02-01,Residential Zone,Drug Offense,High
2023-02-01,Residential Zone,Assault,Medium
2023-02-01,Residential Zone,Vandalism,Medium
2023-02-01,Residential Zone,Assault,Medium
2023-02-01,Residential Zone,Vandalism,Low
2023-02-01,Residential Zone,Theft,Low
2023-02-01,City Center,Drug Offense,Low
2023-02-01,City Center,Burglary,Low
2023-02-01,City Center,Burglary,Medium
2023-02-02,Downtown,Drug Offense,Medium
2023-02-02,Downtown,Vandalism,High
2023-02-02,Suburb,Drug Offense,Medium
2023-02-02,Suburb,Assault,Medium
2023-02-02,Suburb,Drug Offense,Low
2023-02-02,Industrial Area,Vandalism,Medium
2023-02-02,Industrial Area,Vandalism,Medium
2023-02-02,Industrial Area,Burglary,Low
2023-02-02,Industrial Area,Vandalism,Low
2023-02-02,Industrial Area,Drug Offense,High
2023-02-02,Industrial Area,Vandalism,Low
2023-02-02,Residential Zone,Burglary,Medium
2023-02-02,Residential Zone,Assault,Medium
2023-02-02,Residential Zone,Assault,Low
2023-02-02,Residential Zone,Burglary,Medium
2023-02-02,City Center,Vandalism,Low
2023-02-02,City Center,Assault,Low
2023-02-02,City Center,Assault,High
2023-02-02,City Center,Vandalism,Medium
2023-02-02,City Center,Burglary,High
2023-02-02,City Center,Drug Offense,Low
2023-02-02,City Center,Vandalism,Medium
2023-02-03,Downtown,Drug Offense,Low
2023-02-03,Suburb,Drug Offense,Medium
2023-02-03,Suburb,Drug Offense,Low
2023-02-03,Industrial Area,Vandalism,Medium
2023-02-03,Industrial Area,Vandalism,High
2023-02-03,Industrial Area,Assault,Low
2023-02-03,Industrial Area,Vandalism,High
2023-02-03,Residential Zone,Assault,Low
2023-02-03,Residential Zone,Drug Offense,High
2023-02-03,Residential Zone,Burglary,Low
2023-02-03,Residential Zone,Assault,High
2023-02-03,City Center,Vandalism,Medium
2023-02-03,City Center,Vandalism,High
2023-02-03,City Center,Vandalism,Low
2023-02-03,City Center,Assault,High
2023-02-03,City Center,Vandalism,Low
2023-02-04,Downtown,Burglary,Low
2023-02-04,Downtown,Vandalism,High
2023-02-04,Downtown,Theft,Low
2023-02-04,Downtown,Assault,High
2023-02-04,Downtown,Vandalism,Low
2023-02-04,Downtown,Theft,High
2023-02-04,Suburb,Assault,Medium
2023-02-04,Suburb,Burglary,High
2023-02-04,Suburb,Drug Offense,Low
2023-02-04,Industrial Area,Assault,Medium
2023-02-04,Industrial Area,Burglary,Low
2023-02-04,Industrial Area,Assault,Low
2023-02-04,Industrial Area,Theft,Medium
2023-02-04,Residential Zone,Theft,Low
2023-02-04,Residential Zone,Theft,Medium
2023-02-04,Residential Zone,Drug Offense,Low
2023-02-04,Residential Zone,Vandalism,Low
2023-02-04,Residential Zone,Vandalism,Low
2023-02-04,Residential Zone,Burglary,Medium
2023-02-04,Residential Zone,Assault,Low
2023-02-04,City Center,Theft,Low
2023-02-04,City Center,Drug Offense,Medium
2023-02-04,City Center,Vandalism,Low
2023-02-04,City Center,Vandalism,Medium
2023-02-04,City Center,Assault,Low
2023-02-04,City Center,Vandalism,Low
2023-02-04,City Center,Vandalism,Medium
2023-02-04,City Center,Assault,Medium
2023-02-04,City Center,Burglary,Low
2023-02-04,City Center,Drug Offense,Low
2023-02-05,Downtown,Theft,Medium
2023-02-05,Downtown,Drug Offense,High
2023-02-05,Suburb,Drug Offense,Low
2023-02-05,Suburb,Assault,Low
2023-02-05,Suburb,Theft,Medium
2023-02-05,Suburb,Theft,Low
2023-02-05,Suburb,Vandalism,High
2023-02-05,Suburb,Vandalism,High
2023-02-05,Suburb,Theft,High
2023-02-05,Suburb,Assault,Low
2023-02-05,Suburb,Drug Offense,Low
2023-02-05,Industrial Area,Theft,Medium
2023-02-05,Industrial Area,Drug Offense,High
2023-02-05,Industrial Area,Theft,Low
2023-02-05,Industrial Area,Burglary,High
2023-02-05,Residential Zone,Vandalism,Medium
2023-02-05,Residential Zone,Drug Offense,Low
2023-02-05,Residential Zone,Assault,High
2023-02-05,Residential Zone,Vandalism,Low
2023-02-05,Residential Zone,Vandalism,Low
2023-02-05,Residential Zone,Theft,Low
2023-02-05,City Center,Drug Offense,Low
2023-02-05,City Center,Drug Offense,Low
2023-02-05,City Center,Vandalism,Low
2023-02-05,City Center,Theft,High
2023-02-05,City Center,Assault,Low
2023-02-06,Downtown,Vandalism,Medium
2023-02-06,Downtown,Burglary,Medium
2023-02-06,Downtown,Burglary,High
2023-02-06,Downtown,Burglary,High
2023-02-06,Downtown,Vandalism,Low
2023-02-06,Downtown,Theft,Low
2023-02-06,Downtown,Assault,Low
2023-02-06,Downtown,Assault,Low
2023-02-06,Downtown,Burglary,Medium
2023-02-06,Suburb,Theft,Low
2023-02-06,Suburb,Vandalism,Low
2023-02-06,Suburb,Burglary,High
2023-02-06,Suburb,Drug Offense,Medium
2023-02-06,Suburb,Burglary,High
2023-02-06,Industrial Area,Vandalism,Medium
2023-02-06,Industrial Area,Theft,Low
2023-02-06,Industrial Area,Theft,Medium
2023-02-06,Industrial Area,Theft,Low
2023-02-06,Residential Zone,Burglary,High
2023-02-06,Residential Zone,Drug Offense,Low
2023-02-06,Residential Zone,Drug Offense,Low
2023-02-06,Residential Zone,Drug Offense,Medium
2023-02-06,Residential Zone,Assault,Medium
2023-02-06,City Center,Drug Offense,Low
2023-02-06,City Center,Theft,High
2023-02-06,City Center,Vandalism,High
2023-02-07,Downtown,Assault,Low
2023-02-07,Downtown,Theft,Low
2023-02-07,Downtown,Theft,High
2023-02-07,Downtown,Vandalism,High
2023-02-07,Downtown,Drug Offense,Medium
2023-02-07,Downtown,Assault,Low
2023-02-07,Suburb,Burglary,Medium
2023-02-07,Suburb,Assault,Low
2023-02-07,Industrial Area,Assault,Medium
2023-02-07,Industrial Area,Assault,Low
2023-02-07,Industrial Area,Assault,High
2023-02-07,Industrial Area,Burglary,Medium
2023-02-07,Industrial Area,Theft,High
2023-02-07,Industrial Area,Burglary,Medium
2023-02-07,Residential Zone,Vandalism,Low
2023-02-07,Residential Zone,Assault,Medium
2023-02-07,Residential Zone,Vandalism,Medium
2023-02-07,Residential Zone,Drug Offense,High
2023-02-07,Residential Zone,Assault,Low
2023-02-07,City Center,Theft,High
2023-02-07,City Center,Burglary,Medium
2023-02-07,City Center,Burglary,Low
2023-02-07,City Center,Vandalism,Medium
2023-02-08,Downtown,Drug Offense,High
2023-02-08,Downtown,Theft,High
2023-02-08,Downtown,Theft,High
2023-02-08,Downtown,Assault,Low
2023-02-08,Downtown,Vandalism,Medium
2023-02-08,Downtown,Burglary,High
2023-02-08,Suburb,Vandalism,Low
2023-02-08,Suburb,Vandalism,Low
2023-02-08,Suburb,Theft,Low
2023-02-08,Suburb,Vandalism,Medium
2023-02-08,Suburb,Assault,Low
2023-02-08,Suburb,Vandalism,Low
2023-02-08,Suburb,Theft,Low
2023-02-08,Industrial Area,Vandalism,High
2023-02-08,Industrial Area,Vandalism,Medium
2023-02-08,Industrial Area,Theft,Medium
2023-02-08,Residential Zone,Drug Offense,High
2023-02-08,Residential Zone,Burglary,High
2023-02-08,Residential Zone,Drug Offense,High
2023-02-08,Residential Zone,Assault,Medium
2023-02-08,Residential Zone,Burglary,Medium
2023-02-08,City Center,Burglary,Low
2023-02-08,City Center,Burglary,Low
2023-02-08,City Center,Burglary,Medium
2023-02-09,Downtown,Assault,Low
2023-02-09,Downtown,Vandalism,Low
2023-02-09,Downtown,Theft,Medium
2023-02-09,Downtown,Drug Offense,Low
2023-02-09,Suburb,Vandalism,Low
2023-02-09,Suburb,Vandalism,High
2023-02-09,Suburb,Burglary,Low
2023-02-09,Suburb,Drug Offense,High
2023-02-09,Suburb,Theft,High
2023-02-09,Suburb,Theft,Medium
2023-02-09,Industrial Area,Assault,Medium
2023-02-09,Industrial Area,Theft,High
2023-02-09,Industrial Area,Vandalism,Medium
2023-02-09,Industrial Area,Burglary,Medium
2023-02-09,Residential Zone,Assault,Low
2023-02-09,Residential Zone,Vandalism,Low
2023-02-09,Residential Zone,Assault,Low
2023-02-09,Residential Zone,Theft,Medium
2023-02-09,Residential Zone,Assault,Medium
2023-02-09,Residential Zone,Assault,Low
2023-02-09,City Center,Assault,Low
2023-02-09,City Center,Drug Offense,Low
2023-02-09,City Center,Burglary,Low
2023-02-09,City Center,Drug Offense,Low
2023-02-09,City Center,Burglary,Medium
2023-02-10,Downtown,Theft,Medium
2023-02-10,Downtown,Assault,Low
2023-02-10,Downtown,Theft,Medium
2023-02-10,Downtown,Theft,Medium
2023-02-10,Downtown,Assault,High
2023-02-10,Downtown,Theft,Medium
2023-02-10,Suburb,Vandalism,High
2023-02-10,Suburb,Vandalism,Medium
2023-02-10,Suburb,Theft,High
2023-02-10,Suburb,Vandalism,Low
2023-02-10,Suburb,Theft,Medium
2023-02-10,Suburb,Drug Offense,Low
2023-02-10,Suburb,Drug Offense,Low
2023-02-10,Industrial Area,Assault,Medium
2023-02-10,Residential Zone,Drug Offense,Medium
2023-02-10,Residential Zone,Vandalism,Medium
2023-02-10,Residential Zone,Theft,High
2023-02-10,Residential Zone,Vandalism,Low
2023-02-10,City Center,Vandalism,Low
2023-02-11,Downtown,Drug Offense,Low
2023-02-11,Downtown,Burglary,Low
2023-02-11,Downtown,Burglary,High
2023-02-11,Downtown,Assault,Low
2023-02-11,Downtown,Drug Offense,Low
2023-02-11,Downtown,Theft,High
2023-02-11,Downtown,Assault,High
2023-02-11,Suburb,Vandalism,Low
2023-02-11,Suburb,Drug Offense,Low
2023-02-11,Suburb,Drug Offense,Medium
2023-02-11,Suburb,Vandalism,Medium
2023-02-11,Suburb,Assault,Low
2023-02-11,Suburb,Theft,Medium
2023-02-11,Suburb,Theft,Low
2023-02-11,Suburb,Burglary,Medium
2023-02-11,Industrial Area,Theft,Low
2023-02-11,Industrial Area,Vandalism,Medium
2023-02-11,Industrial Area,Theft,Medium
2023-02-11,Residential Zone,Theft,Medium
2023-02-11,Residential Zone,Assault,Medium
2023-02-11,Residential Zone,Drug Offense,Medium
2023-02-11,Residential Zone,Drug Offense,Low
2023-02-11,Residential Zone,Drug Offense,Low
2023-02-11,Residential Zone,Burglary,Medium
2023-02-11,City Center,Drug Offense,Medium
2023-02-11,City Center,Burglary,Low
2023-02-11,City Center,Assault,Medium
2023-02-11,City Center,Assault,Medium
2023-02-11,City Center,Assault,Low
2023-02-11,City Center,Assault,Low
2023-02-11,City Center,Theft,Low
2023-02-11,City Center,Drug Offense,Low
2023-02-11,City Center,Burglary,Low
2023-02-12,Downtown,Assault,High
2023-02-12,Suburb,Assault,Medium
2023-02-12,Suburb,Vandalism,Medium
2023-02-12,Suburb,Assault,Low
2023-02-12,Suburb,Burglary,Medium
2023-02-12,Industrial Area,Theft,Low
2023-02-12,Industrial Area,Theft,Medium
2023-02-12,Industrial Area,Vandalism,Low
2023-02-12,Industrial Area,Vandalism,Low
2023-02-12,Residential Zone,Assault,Medium
2023-02-12,Residential Zone,Assault,Medium
2023-02-12,Residential Zone,Drug Offense,Medium
2023-02-12,Residential Zone,Burglary,Medium
2023-02-12,Residential Zone,Theft,Medium
2023-02-12,Residential Zone,Vandalism,Medium
2023-02-12,Residential Zone,Vandalism,Low
2023-02-12,City Center,Drug Offense,Medium
2023-02-12,City Center,Theft,Low
2023-02-12,City Center,Drug Offense,Low
2023-02-12,City Center,Vandalism,Medium
2023-02-12,City Center,Theft,Low
2023-02-12,City Center,Assault,Medium
2023-02-12,City Center,Burglary,Low
2023-02-12,City Center,Burglary,Low
2023-02-12,City Center,Assault,Low
2023-02-12,City Center,Assault,Low
2023-02-13,Downtown,Vandalism,High
2023-02-13,Downtown,Burglary,Medium
2023-02-13,Downtown,Vandalism,Low
2023-02-13,Downtown,Vandalism,Medium
2023-02-13,Downtown,Vandalism,Low
2023-02-13,Downtown,Vandalism,Low
2023-02-13,Suburb,Drug Offense,Low
2023-02-13,Suburb,Drug Offense,High
2023-02-13,Suburb,Burglary,Medium
2023-02-13,Suburb,Assault,Medium
2023-02-13,Suburb,Theft,High
2023-02-13,Suburb,Theft,High
2023-02-13,Suburb,Theft,High
2023-02-13,Suburb,Burglary,Low
2023-02-13,Suburb,Theft,Low
2023-02-13,Industrial Area,Vandalism,High
2023-02-13,Industrial Area,Drug Offense,Medium
2023-02-13,Residential Zone,Burglary,Medium
2023-02-13,Residential Zone,Vandalism,Low
2023-02-13,Residential Zone,Theft,Low
2023-02-13,Residential Zone,Theft,Medium
2023-02-13,City Center,Theft,High
2023-02-13,City Center,Theft,High
2023-02-13,City Center,Vandalism,Medium
2023-02-13,City Center,Theft,Low
2023-02-13,City Center,Drug Offense,High
2023-02-13,City Center,Vandalism,High
2023-02-13,City Center,Burglary,Medium
2023-02-13,City Center,Assault,Medium
2023-02-14,Downtown,Theft,Medium
2023-02-14,Downtown,Assault,Low
2023-02-14,Downtown,Theft,Medium
2023-02-14,Downtown,Vandalism,Low
2023-02-14,Downtown,Vandalism,Low
2023-02-14,Downtown,Burglary,Medium
2023-02-14,Downtown,Drug Offense,High
2023-02-14,Suburb,Theft,Medium
2023-02-14,Suburb,Vandalism,Low
2023-02-14,Industrial Area,Vandalism,Low
2023-02-14,Industrial Area,Vandalism,Low
2023-02-14,Industrial Area,Burglary,Low
2023-02-14,Industrial Area,Vandalism,High
2023-02-14,Industrial Area,Theft,Low
2023-02-14,Industrial Area,Drug Offense,High
2023-02-14,Industrial Area,Theft,Medium
2023-02-14,Industrial Area,Assault,High
2023-02-14,Industrial Area,Vandalism,Low
2023-02-14,Residential Zone,Vandalism,High
2023-02-14,Residential Zone,Burglary,High
2023-02-14,Residential Zone,Theft,Medium
2023-02-14,Residential Zone,Burglary,Low
2023-02-14,Residential Zone,Vandalism,Low
2023-02-14,Residential Zone,Theft,Low
2023-02-14,Residential Zone,Burglary,Low
2023-02-14,City Center,Vandalism,Low
2023-02-14,City Center,Theft,Low
2023-02-14,City Center,Drug Offense,Low
2023-02-14,City Center,Vandalism,High
2023-02-15,Downtown,Vandalism,Low
2023-02-15,Downtown,Burglary,High
2023-02-15,Downtown,Theft,Medium
2023-02-15,Downtown,Drug Offense,Low
2023-02-15,Suburb,Vandalism,Low
2023-02-15,Suburb,Assault,Low
2023-02-15,Suburb,Burglary,High
2023-02-15,Industrial Area,Theft,High
2023-02-15,Industrial Area,Assault,High
2023-02-15,Industrial Area,Drug Offense,High
2023-02-15,Industrial Area,Assault,High
2023-02-15,Residential Zone,Assault,Low
2023-02-15,Residential Zone,Vandalism,Medium
2023-02-15,City Center,Theft,Medium
2023-02-15,City Center,Drug Offense,High
2023-02-15,City Center,Assault,Low
2023-02-15,City Center,Theft,Medium
2023-02-16,Downtown,Vandalism,Low
2023-02-16,Downtown,Theft,Low
2023-02-16,Downtown,Drug Offense,Low
2023-02-16,Downtown,Drug Offense,Medium
2023-02-16,Downtown,Assault,Medium
2023-02-16,Downtown,Theft,High
2023-02-16,Downtown,Theft,Low
2023-02-16,Suburb,Drug Offense,High
2023-02-16,Suburb,Vandalism,Low
2023-02-16,Suburb,Burglary,Medium
2023-02-16,Suburb,Vandalism,Low
2023-02-16,Industrial Area,Burglary,High
2023-02-16,Industrial Area,Theft,Low
2023-02-16,Industrial Area,Theft,Medium
2023-02-16,Industrial Area,Drug Offense,Low
2023-02-16,Residential Zone,Burglary,Low
2023-02-16,Residential Zone,Drug Offense,Medium
2023-02-16,Residential Zone,Assault,Medium
2023-02-16,Residential Zone,Vandalism,Medium
2023-02-16,Residential Zone,Vandalism,Medium
2023-02-16,Residential Zone,Drug Offense,Low
2023-02-16,Residential Zone,Vandalism,Low
2023-02-16,City Center,Theft,Low
2023-02-16,City Center,Assault,Medium
2023-02-16,City Center,Burglary,Low
2023-02-16,City Center,Theft,Medium
2023-02-16,City Center,Assault,Low
2023-02-16,City Center,Burglary,Medium
2023-02-16,City Center,Drug Offense,High
2023-02-16,City Center,Burglary,Low
2023-02-16,City Center,Drug Offense,High
2023-02-16,City Center,Assault,Low
2023-02-17,Downtown,Vandalism,Medium
2023-02-17,Downtown,Theft,Low
2023-02-17,Downtown,Vandalism,High
2023-02-17,Downtown,Drug Offense,High
2023-02-17,Suburb,Assault,Medium
2023-02-17,Suburb,Vandalism,High
2023-02-17,Suburb,Burglary,Low
2023-02-17,Suburb,Theft,High
2023-02-17,Industrial Area,Theft,Low
2023-02-17,Industrial Area,Vandalism,Low
2023-02-17,Industrial Area,Drug Offense,Low
2023-02-17,Industrial Area,Burglary,Low
2023-02-17,Industrial Area,Burglary,High
2023-02-17,Industrial Area,Vandalism,Medium
2023-02-17,Residential Zone,Vandalism,High
2023-02-17,Residential Zone,Vandalism,Low
2023-02-17,Residential Zone,Burglary,High
2023-02-17,Residential Zone,Burglary,High
2023-02-17,Residential Zone,Vandalism,Low
2023-02-17,City Center,Burglary,Medium
2023-02-17,City Center,Vandalism,High
2023-02-17,City Center,Drug Offense,Medium
2023-02-18,Downtown,Drug Offense,Medium
2023-02-18,Downtown,Burglary,Medium
2023-02-18,Downtown,Assault,Low
2023-02-18,Downtown,Vandalism,Medium
2023-02-18,Downtown,Vandalism,Medium
2023-02-18,Suburb,Theft,High
2023-02-18,Suburb,Drug Offense,Low
2023-02-18,Suburb,Drug Offense,Low
2023-02-18,Suburb,Theft,High
2023-02-18,Suburb,Drug Offense,Low
2023-02-18,Suburb,Theft,Medium
2023-02-18,Suburb,Assault,Medium
2023-02-18,Industrial Area,Assault,Low
2023-02-18,Industrial Area,Burglary,Low
2023-02-18,Industrial Area,Burglary,Low
2023-02-18,Industrial Area,Vandalism,Low
2023-02-18,Industrial Area,Assault,Low
2023-02-18,Industrial Area,Drug Offense,Medium
2023-02-18,Industrial Area,Assault,Low
2023-02-18,Industrial Area,Burglary,Low
2023-02-18,Residential Zone,Assault,High
2023-02-18,Residential Zone,Drug Offense,High
2023-02-18,Residential Zone,Drug Offense,Medium
2023-02-18,Residential Zone,Drug Offense,Low
2023-02-18,Residential Zone,Assault,Low
2023-02-18,Residential Zone,Theft,Low
2023-02-18,Residential Zone,Drug Offense,High
2023-02-18,City Center,Vandalism,Low
2023-02-18,City Center,Theft,Medium
2023-02-18,City Center,Burglary,Low
2023-02-19,Downtown,Theft,Low
2023-02-19,Downtown,Theft,Low
2023-02-19,Downtown,Theft,Low
2023-02-19,Downtown,Vandalism,High
2023-02-19,Downtown,Drug Offense,Low
2023-02-19,Downtown,Theft,High
2023-02-19,Suburb,Vandalism,Medium
2023-02-19,Suburb,Vandalism,High
2023-02-19,Suburb,Vandalism,Low
2023-02-19,Suburb,Vandalism,Medium
2023-02-19,Suburb,Burglary,Medium
2023-02-19,Industrial Area,Theft,Low
2023-02-19,Industrial Area,Burglary,Low
2023-02-19,Industrial Area,Drug Offense,Low
2023-02-19,Industrial Area,Vandalism,Low
2023-02-19,Industrial Area,Drug Offense,Medium
2023-02-19,Industrial Area,Burglary,Low
2023-02-19,Industrial Area,Vandalism,Low
2023-02-19,Industrial Area,Burglary,High
2023-02-19,Industrial Area,Burglary,Medium
2023-02-19,Residential Zone,Theft,High
2023-02-19,Residential Zone,Theft,High
2023-02-19,Residential Zone,Vandalism,Low
2023-02-19,City Center,Theft,Low
2023-02-19,City Center,Burglary,Low
2023-02-19,City Center,Vandalism,Low
2023-02-19,City Center,Assault,Low
2023-02-19,City Center,Theft,High
2023-02-20,Downtown,Assault,Low
2023-02-20,Downtown,Drug Offense,Medium
2023-02-20,Downtown,Assault,Medium
2023-02-20,Downtown,Burglary,Low
2023-02-20,Suburb,Theft,Medium
2023-02-20,Suburb,Burglary,Low
2023-02-20,Industrial Area,Burglary,High
2023-02-20,Industrial Area,Burglary,High
2023-02-20,Industrial Area,Theft,Low
2023-02-20,Industrial Area,Assault,Low
2023-02-20,Industrial Area,Theft,Low
2023-02-20,Residential Zone,Vandalism,Low
2023-02-20,City Center,Burglary,Low
2023-02-20,City Center,Theft,Medium
2023-02-20,City Center,Vandalism,Low
2023-02-20,City Center,Theft,High
2023-02-21,Downtown,Vandalism,Low
2023-02-21,Downtown,Vandalism,Low
2023-02-21,Downtown,Burglary,Medium
2023-02-21,Downtown,Vandalism,Low
2023-02-21,Suburb,Burglary,Low
2023-02-21,Suburb,Drug Offense,Medium
2023-02-21,Suburb,Vandalism,Medium
2023-02-21,Suburb,Assault,Low
2023-02-21,Industrial Area,Vandalism,Medium
2023-02-21,Industrial Area,Theft,Medium
2023-02-21,Industrial Area,Drug Offense,Low
2023-02-21,Residential Zone,Theft,Low
